Data Source,Report Number,Local Date,City,State,Airport Name,Event Type,Mid Air Collision,Aircraft Damage,Registration Nbr,Total Aboard,Fatalities,Injuries,Details;
"ACCIDENT AND INCIDENT DATABASE,20210328003091I,28-MAR-21,DEL MAR,CA,INCIDENT,MINOR,NONE ,11,0,0,NONE  ,NONE         ,UNKNOWN/FOREIGN,""THE BALLOON PILOT WAS ON APPROACH TO LAND WHEN A DJI MAVIC MINI COLLIDED WITH THE BALLOON ENVELOPE, TEARING THROUGH THE FABRIC, AND FALLING INTO THE BASKET BELOW. THE BALLOON PILOT CONTINUED THE APPROACH TO LANDING WITHOUT FURTHER INCIDENT.""";
ACCIDENT AND INCIDENT DATABASE,20210903016239I,03-SEP-21,SAN JUAN,PR,FERNANDO LUIS RIBAS DOMINICCI,INCIDENT,NOT A MIDAIR,MINOR,NONE ,0,0,0,UAS PILOT ^PRIVACY DATA OMITTED^ REMOTE CERTIFICATE #^PRIVACY DATA OMITTED^ WAS HIRED BY PRODUCER ^PRIVACY DATA OMITTED^ TO DO SOME AERIAL SHOTS OF EL MORRO FOR A DOCUMENTARY ABOUT THE 500 YEARS OF THE CITY OF SAN JUAN ON SEPTEMBER 3RD. USED RENTED DJI INSPIRE 2 DRONE. LOST CONTROL LINK WITH DRONE ON WAY BACK CRASHED INTO EL MORRO FORT IN OLD SAN JUAN.;
"ACCIDENT AND INCIDENT DATABASE,20190629024639I,29-JUN-19,RIALTO,CA,INCIDENT,NOT A MIDAIR,SUBSTANTIAL,NONE ,1,0,0,PRIVATE PILOT,""ON JULY 5, 2019, 1030 PST TIME, A DJI INPSIRE DRONE WAS FLOWN INTO POWER LINES OVER THE MID VALLEY LANDFILL NEAR RIALTO CA. THE OPERATION WAS A WORK ASSIGNMENT FOR THE SAN BERNARINO COUNTY LAND FILL DISTRICT, BY A COUNTY EMPLOYEE. A SOUTHERN CALIFORNIA EDISON WIRE WAS SEVERED AND A SMALL FIRE STARTED.""";
"ACCIDENT AND INCIDENT DATABASE,20190704024279I,04-JUL-19,CHESTERFIELD,MO,SPIRIT OF ST LOUIS,INCIDENT,NOT A MIDAIR,NONE,NONE ,1,0,0,""1) UA FA REGISTRATION NUMBER: FA3CN9KFY42) UA MAKE, MODEL, AND SERIAL NUMBER: DJI MAVIC AIR, SER #: 0K1CF973AH5NNB3) REMOTE PILOT CERTIFICATE NUMBER: N/A4) FREQUENCY BEING USED BY OPERATOR: UNKNOWN5) TYPE OF OPERATION: HOBBYIST6) ADDITIONAL INFORMATION: CHESTERFIELD, MO. POLICE OFFICERS IDENTIFIED A UAS FLYING OVER A LARGE CROWD OF PEOPLE DURING A CITY SPONSORED EVENT. POLICE OFFICERS IDENTIFIED AND APPREHENDED SUBJECT OPERATING THE UAS. SUBJECT WAS ARRESTED FOR VIOLATING LOCAL ORDINANCES AND HIS UAS WAS CONFISCATED. NO REGISTRATION MARKINGS WERE FOUND ON UAS. SUBJECT WAS RELEASED SHORTLY AFTERWARD AND ISSUED A SUMMONS. CONFISCATED UAS WAS LATER RETURNED TO HIM BY CHESTERFIELD, MO POLICE ONCE HE PROVIDED PROOF OF REGISTRATION. CHESTERFIELD, MO POLICE REPORTED INCIDENT TO FEDERAL AVIATION ADMINISTRATION.""";
"ACCIDENT AND INCIDENT DATABASE,20190712024609I,12-JUL-19,HOWE,TX,INCIDENT,NOT A MIDAIR,NONE,NONE ,1,0,1,PILOT NOT CERTIFICATED,""ON JULY 12, 2019 AT APPROXIMATELY 1541 LOCAL TIME, A DJI INSPIRE 1V2 UAS, SERIAL #041DD20160 - REGISTRATION NUMBER FA3KYTNE9X, ^PRIVACY DATA OMITTED^ AND OPERATED BY ^PRIVACY DATA OMITTED^ ON 2.4GHZ FREQUENCY, ENCOUNTERED A LOSS OF CONTROL ON TAKEOFF AND MADE AN UNCOMMANDED TURN TOWARD THE OPERATOR, CAUSING LACERATIONS TO TWO FINGERS ON THE OPERATOR'S HAND. THE AIRCRAFT RECEIVED MINOR DAMAGE, 1 OPERATOR RECEIVED MINOR INJURIES. THE OPERATOR CURRENTLY HOLDS A REMOTE PILOT CERTIFICATE.""";
"ACCIDENT AND INCIDENT DATABASE,20200130003529I,30-JAN-20,COLUMBUS,OH,COLUMBUS,INCIDENT,NOT A MIDAIR,SUBSTANTIAL,NONE ,1,0,0,""AIRCRAFT IS A DJI T650A INSPIRE 2 SUAS, SERIAL # 0A0LG2J107005, REGISTRATION # FA3FTYCLFE. FREQUENCY USED IS UNKNOWN. THE AIRCRAFT HAS TWO FREQUENCIES AVAILABLE, 2.4 AND 5.8 GHZ, BUT THE PIC DOESN'T REMEMBER WHICH ONE WAS IN USE DURING THE FLIGHT. PIC IS ^PRIVACY DATA OMITTED^, CERTIFICATE ^PRIVACY DATA OMITTED^. ^PRIVACY DATA OMITTED^ SAID THAT THE UAS EXPERIENCED AN ERROR ON ITS FIRST CALIBRATION ATTEMPT PRIOR TO LAUNCH BUT CALIBRATED CORRECTLY ON THE SECOND ATTEMPT AND THE FLIGHT CONTINUED AFTER RECORDING THE HOME POINT AT THE LAUNCH POSITION. HE SAID THE UAS WAS IN POSITIONING MODE (P-MODE) FOR THE ENTIRE FLIGHT. THE LANDING SEQUENCE WAS INITIATED MANUALLY (I.E. THE AUTOLAND FEATURE WAS NOT USED). ^PRIVACY DATA OMITTED^ SAID THAT THE UAS """"TOOK OFF"""" WHEN IT GOT DOWN TO ABOUT 5' AGL AND FLEW INSIDE THE CPD HANGAR WHERE IT STRUCK A CPD HELICOPTER. HE SAID THAT THE UAS ACTED AS IF IT WAS """"PRE-PROGRAMMED"""" TO FLY INTO THE HANGAR ONCE IT GOT AWAY FROM HIM.""";
"ACCIDENT AND INCIDENT DATABASE,20200208021149I,08-FEB-20,PORT SAINT LUCIE,FL,INCIDENT,NOT A MIDAIR,NONE,NONE ,1,0,0,PILOT NOT CERTIFICATED,""^PRIVACY DATA OMITTED^WAS PILOTING A DJI SPARK DRONE (SMALL UAS, MAX GROSS WEIGHT OF 300 GRAMS) AROUND 8:15PM ON 02/08/2020 OVER AN ACTIVE CRIME SCENE APPROXIMATELY 1200 FEET FROM HIS DRIVEWAY. THE AREA WAS SECURED WITH CRIME SCENE TAPE AND THERE WAS A GROWING GROUP OF ONLOOKERS AS WELL AS A NUMBER OF LAW ENFORCEMENT OFFICERS ON SCENE. IT WAS REPORTED BY LAW ENFORCEMENT OFFICERS AT THE SCENE THAT THE DRONE WAS DIMLY ILLUMINATED AND WAS MAINTAINING A HEIGHT OF 30 TO 40 FEET ABOVE THE CROWD.""";
"ACCIDENT AND INCIDENT DATABASE,20200215021279I,15-FEB-20,YALE,OK,INCIDENT,NOT A MIDAIR,SUBSTANTIAL,NONE ,1,0,0,PILOT NOT CERTIFICATED,""UA FA REGISTRATION NUMBER- FA3WN4WHAC UA MAKE, MODEL, AND SERIAL NUMBER-DJI PHANTOM 4 REMOTE PILOT CERTIFICATE NUMBER-^PRIVACY DATA OMITTED^ FREQUENCY BEING USED BY THE OPERATOR-UNKNOWN ANY ADDITIONAL INFORMATION WHICH ADDS VALUE TO THE REPORT.-PILOT STATES HE WAS USING UAS FOR PRACTICE BUT THIS LOCATION IS NOT CONDUCIVE FOR TRAINING. TYPE OF OPERATION- APPEARS TO BE 107 ANY ADDITIONAL INFORMATION DEEMED NECESSARY- NONE""";
"ACCIDENT AND INCIDENT DATABASE,20190921024289I,21-SEP-19,FARMINGTON,MO,INCIDENT,NOT A MIDAIR,NONE,NONE ,1,0,4,""1.) UA FA REGISTRATION NUMBER: NOT REGISTERED2.) UA MAKE, MODEL, AND SERIAL NUMBER: DJI, PHANTOM 4, SER #:07DJD8T0C113403.) REMOTE PILOT CERTIFICATE NUMBER: NOT CERTIFICATED4.) FREQUENCY BEING USED BY THE OPERATOR: 2.4 TO 2.483 GHZ5.) ADDITIONAL: LOSS OF POWER DUE TO SUSPECTED INADEQUATE BATTERY POWER TO SUSTAIN SAFE FLIGHT WHICH INITIATES AN """"AUTOLAND"""" UNDER NORMAL SYSTEM OPERATION.6.) TYPE OF OPERATION: PART 1077.) DURING THE EVENING OF SEPTEMBER 21 AT APPROXIMATELY 1800, PATRONS WERE ENJOYING A BAND PERFORMANCE IN DOWNTOWN FARMINGTON, MO WHEN A DJI PHANTOM 4 SUAS CRASHED INTO A GROUP OF PEOPLE. ONE VICTIM WAS HIT IN THE HEAD BY THE DESCENDING SUAS AND CUT ON THE FOREHEAD. THE SUAS BOUNCED ONTO A PICNIC TABLE HITTING TWO MORE VICTIMS IN THE BACK CAUSING BRUISING AND CUTS AND ANOTHER VICTIM WAS BLEEDING FROM A CUT ON HIS HAND. THE RESPONDING POLICE OFFICER LOCATED THE SUAS PILOT WHO TOLD HIM THAT HE WAS FLYING THE SUAS TOWARDS THE MUSIC STAGE TO GET VIDEO OF THE BAND. HE STATED THAT THE SUAS ENTERED INTO ?AUTO LAND MODE? AND THAT HE LOST CONTROL OF THE SUAS. THE RESPONDING OFFICER CONFIRMED THAT BY OBSERVING THOSE WORDS ON THE SCREEN OF THE TABLET BEING USED TO PILOT THE SUAS IN CONJUNCTION WITH THE REMOTE CONTROLLER. THE INJURED PARTIES WERE TREATED BY EMERGENCY MEDICAL TECHNICIANS AT THE SCENE AND DID NOT SEEK FURTHER MEDICAL TREATMENT.""";
"ACCIDENT AND INCIDENT DATABASE,20190930024379I,30-SEP-19,PHILADELPHIA,PA,INCIDENT,NOT A MIDAIR,MINOR,NONE ,1,0,0,""^PRIVACY DATA OMITTED^DJI - FA3THL797EUNKNOWN GHZ, PART 107THE RATED UAS PILOT WAS OPERATING LINE OF SIGHT FROM THE NEW JERSEY SIDE OF THE DELAWARE RIVER AND INADVERTENTLY RAN INTO A CRANE ON THE PENNSYLVANIA SIDE OF THE RIVER. DAMAGE OTHER THAN THE UAS WAS REPORTED TO BE GREATER THAN $500.PILOT INTERVIEW REVEALED THAT HE SIMPLY MISJUDGED HIS DISTANCE AND SHOULD HAVE 'PANNED' THE CAMERA. HE DETERMINED THAT THE WINDS WERE ACCEPTABLE AND THE AIRCRAFT WAS AIRWORTHY PRIOR TO FLIGHT.""";
